avg_rating,board_game_rank,game_sub_url,geek_rating,num_voters,title
"
			8.50		","<a name=""8""></a>",/boardgame/220308/gaia-project,"
			8.153		","
			13628		",Gaia Project
"
			7.58		","<a name=""1404""></a>",/boardgame/157026/ascension-realms-unraveled,"
			6.287		","
			957		",Ascension: Realms Unraveled
"
			7.15		","<a name=""904""></a>",/boardgame/230/merchant-venus,"
			6.549		","
			2615		",Merchant of Venus
"
			7.01		","<a name=""1004""></a>",/boardgame/233020/fireball-island-curse-vul-kar,"
			6.486		","
			3394		",Fireball Island: The Curse of Vul-Kar
"
			6.59		","<a name=""1604""></a>",/boardgame/466/inkognito,"
			6.214		","
			2931		",Inkognito
"
			7.05		","<a name=""1104""></a>",/boardgame/194690/viral,"
			6.427		","
			2250		",Viral
"
			6.73		","<a name=""1204""></a>",/boardgame/34887/revolution,"
			6.376		","
			4018		",Revolution!
"
			7.91		","<a name=""207""></a>",/boardgame/222509/lords-hellas,"
			7.236		","
			4751		",Lords of Hellas
"
			7.59		","<a name=""106""></a>",/boardgame/147020/star-realms,"
			7.455		","
			33291		",Star Realms
"
			7.47		","<a name=""707""></a>",/boardgame/195560/wasteland-express-delivery-service,"
			6.688		","
			2420		",Wasteland Express Delivery Service
"
			7.11		","<a name=""407""></a>",/boardgame/21790/thurn-and-taxis,"
			6.964		","
			17393		",Thurn and Taxis
"
			7.07		","<a name=""607""></a>",/boardgame/40628/finca,"
			6.778		","
			6588		",Finca
"
			7.96		","<a name=""307""></a>",/boardgame/40354/maria,"
			7.081		","
			2637		",Maria
"
			7.03		","<a name=""506""></a>",/boardgame/21763/mr-jack,"
			6.866		","
			14499		",Mr. Jack
"
			6.78		","<a name=""1305""></a>",/boardgame/208895/new-york-slice,"
			6.330		","
			2727		",New York Slice
"
			6.48		","<a name=""2002""></a>",/boardgame/632/cloud-9,"
			6.080		","
			2195		",Cloud 9
"
			6.77		","<a name=""1703""></a>",/boardgame/30367/perry-rhodan-cosmic-league,"
			6.178		","
			1614		",Perry Rhodan: The Cosmic League
"
			6.42		","<a name=""2101""></a>",/boardgame/6068/queens-necklace,"
			6.054		","
			2325		",Queen's Necklace
"
			7.12		","<a name=""806""></a>",/boardgame/198454/when-i-dream,"
			6.620		","
			3478		",When I Dream
"
			6.72		","<a name=""1903""></a>",/boardgame/201248/evolution-beginning,"
			6.114		","
			1578		",Evolution: The Beginning
"
			7.25		","<a name=""1505""></a>",/boardgame/216597/flatline,"
			6.250		","
			1098		",Flatline
"
			8.30		","<a name=""9""></a>",/boardgame/12333/twilight-struggle,"
			8.151		","
			38232		",Twilight Struggle
"
			6.77		","<a name=""1405""></a>",/boardgame/118174/compounded,"
			6.287		","
			2459		",Compounded
"
			6.87		","<a name=""905""></a>",/boardgame/681/quarto,"
			6.548		","
			5450		",Quarto
"
			7.87		","<a name=""1005""></a>",/boardgame/208024/reckoners,"
			6.485		","
			1156		",The Reckoners
"
			7.35		","<a name=""1605""></a>",/boardgame/189660/xenoshyft-dreadmire,"
			6.214		","
			966		",XenoShyft: Dreadmire
"
			6.93		","<a name=""1105""></a>",/boardgame/217085/unearth,"
			6.426		","
			3177		",Unearth
"
			6.80		","<a name=""1205""></a>",/boardgame/201/rose-king,"
			6.375		","
			3012		",The Rose King
"
			7.64		","<a name=""208""></a>",/boardgame/59294/runewars,"
			7.234		","
			7564		",Runewars
"
			7.78		","<a name=""107""></a>",/boardgame/146652/legendary-encounters-alien-deck-building-game,"
			7.453		","
			10458		",Legendary Encounters: An Alien Deck Building Game
"
			7.05		","<a name=""708""></a>",/boardgame/554/la-citta,"
			6.687		","
			5002		",La Città
"
			7.68		","<a name=""408""></a>",/boardgame/192836/colonists,"
			6.962		","
			3058		",The Colonists
"
			7.11		","<a name=""608""></a>",/boardgame/200147/kanagawa,"
			6.777		","
			6313		",Kanagawa
"
			7.40		","<a name=""308""></a>",/boardgame/79828/few-acres-snow,"
			7.074		","
			7206		",A Few Acres of Snow
"
			7.15		","<a name=""507""></a>",/boardgame/30380/cuba,"
			6.863		","
			7755		",Cuba
"
			7.28		","<a name=""1306""></a>",/boardgame/204505/museum,"
			6.330		","
			1415		",Museum
"
			6.82		","<a name=""2003""></a>",/boardgame/251293/megaland,"
			6.080		","
			1211		",Megaland
"
			6.46		","<a name=""2201""></a>",/boardgame/34373/tiki-topple,"
			6.030		","
			1836		",Tiki Topple
"
			6.95		","<a name=""1704""></a>",/boardgame/92044/dungeons-dragons-conquest-nerath-board-game,"
			6.178		","
			1471		",Dungeons & Dragons: Conquest of Nerath Board Game
"
			6.42		","<a name=""2102""></a>",/boardgame/23686/gifttrap,"
			6.053		","
			2443		",GiftTRAP
"
			6.77		","<a name=""807""></a>",/boardgame/122522/smash,"
			6.617		","
			22479		",Smash Up
"
