,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_class_weight,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_n_estimators,params_num_leaves,params_sampling_strategy,state
91,91,0.08022425056080144,2020-09-03 15:39:30.046644,2020-09-03 15:39:32.985515,0 days 00:00:02.938871,gbdt,balanced,6.2984562104386566,94,15,50,60,0.8,COMPLETE
92,92,0.37609344400584893,2020-09-03 15:39:32.989479,2020-09-03 15:39:40.667617,0 days 00:00:07.678138,gbdt,balanced,0.6507918354106645,85,25,110,90,0.9,COMPLETE
93,93,0.14852583267150887,2020-09-03 15:39:40.674222,2020-09-03 15:39:44.708049,0 days 00:00:04.033827,gbdt,balanced,2.806984493241301,83,25,100,90,0.9500000000000001,COMPLETE
94,94,0.07861944378719594,2020-09-03 15:39:44.712271,2020-09-03 15:39:47.636640,0 days 00:00:02.924369,gbdt,balanced,5.345011050237651,80,30,30,85,0.9500000000000001,COMPLETE
95,95,0.10611670503085029,2020-09-03 15:39:47.641225,2020-09-03 15:39:50.226177,0 days 00:00:02.584952,gbdt,balanced,98.90189833065233,76,25,10,95,0.85,COMPLETE
96,96,0.12957444817463676,2020-09-03 15:39:50.231501,2020-09-03 15:39:53.876734,0 days 00:00:03.645233,gbdt,balanced,1.9280737209337855,85,15,50,85,0.8,COMPLETE
97,97,0.1078100735964685,2020-09-03 15:39:53.884392,2020-09-03 15:39:56.487942,0 days 00:00:02.603550,gbdt,balanced,10.85977695372043,87,5,20,75,0.9,COMPLETE
98,98,0.39768465159727956,2020-09-03 15:39:56.496359,2020-09-03 15:40:02.715837,0 days 00:00:06.219478,gbdt,balanced,0.3610770057684411,90,85,70,90,1.0,COMPLETE
99,99,0.14559563599178918,2020-09-03 15:40:02.720255,2020-09-03 15:40:05.759112,0 days 00:00:03.038857,gbdt,balanced,5.3139969544320085,72,95,70,90,0.9500000000000001,COMPLETE
100,100,0.38584649323032394,2020-09-03 15:40:05.767887,2020-09-03 15:40:15.430418,0 days 00:00:09.662531,gbdt,balanced,0.22091195095362354,32,85,120,95,1.0,COMPLETE
101,101,0.07466793555028849,2020-09-03 15:40:15.434082,2020-09-03 15:40:19.401848,0 days 00:00:03.967766,gbdt,balanced,2.1509378590683075,34,80,120,95,0.9,COMPLETE
102,102,0.39302037934688777,2020-09-03 15:40:19.410405,2020-09-03 15:40:24.528647,0 days 00:00:05.118242,gbdt,balanced,0.46452541634144023,40,85,40,95,1.0,COMPLETE
103,103,0.41410969364428424,2020-09-03 15:40:24.531902,2020-09-03 15:40:29.454437,0 days 00:00:04.922535,gbdt,balanced,0.23432321467753095,40,85,40,95,1.0,COMPLETE
104,104,0.12420230319163147,2020-09-03 15:40:29.458136,2020-09-03 15:40:32.554599,0 days 00:00:03.096463,gbdt,balanced,7.161387781015958,41,80,40,95,1.0,COMPLETE
105,105,0.1306561687552347,2020-09-03 15:40:32.565318,2020-09-03 15:40:36.136524,0 days 00:00:03.571206,gbdt,balanced,4.224869619483183,38,85,80,95,1.0,COMPLETE
106,106,0.10118186090693124,2020-09-03 15:40:36.152813,2020-09-03 15:40:39.627644,0 days 00:00:03.474831,gbdt,balanced,8.891791618816246,30,90,60,100,1.0,COMPLETE
107,107,0.13116172881143162,2020-09-03 15:40:39.631579,2020-09-03 15:40:42.949155,0 days 00:00:03.317576,gbdt,balanced,3.103623256412068,46,85,40,90,1.0,COMPLETE
108,108,0.33591135235986513,2020-09-03 15:40:42.960668,2020-09-03 15:40:46.387522,0 days 00:00:03.426854,goss,balanced,0.1248217320989402,39,95,30,95,0.9500000000000001,COMPLETE
109,109,0.14531740511758479,2020-09-03 15:40:46.391763,2020-09-03 15:40:49.834573,0 days 00:00:03.442810,gbdt,balanced,5.318018147355383,36,75,60,100,0.9500000000000001,COMPLETE
110,110,0.32606525661447316,2020-09-03 15:40:49.845140,2020-09-03 15:40:52.392089,0 days 00:00:02.546949,gbdt,balanced,0.12670031103018256,27,85,20,90,0.30000000000000004,COMPLETE
111,111,0.32053728789846814,2020-09-03 15:40:52.397020,2020-09-03 15:40:55.138735,0 days 00:00:02.741715,gbdt,balanced,0.12506816814546245,32,75,10,95,1.0,COMPLETE
112,112,0.10928111868035292,2020-09-03 15:40:55.141786,2020-09-03 15:40:58.474978,0 days 00:00:03.333192,gbdt,balanced,2.1423705865816536,41,100,80,100,0.75,COMPLETE
113,113,0.14304072507146454,2020-09-03 15:40:58.479147,2020-09-03 15:41:01.117100,0 days 00:00:02.637953,gbdt,balanced,4.267086825383538,42,85,40,95,0.4,COMPLETE
114,114,0.1319742686084083,2020-09-03 15:41:01.120750,2020-09-03 15:41:03.951305,0 days 00:00:02.830555,gbdt,balanced,7.319242802939981,23,70,30,90,0.8,COMPLETE
115,115,0.2054855877076494,2020-09-03 15:41:03.961369,2020-09-03 15:41:06.971382,0 days 00:00:03.010013,gbdt,balanced,1.650448751179726,37,90,50,10,1.0,COMPLETE
116,116,0.3232456108914002,2020-09-03 15:41:06.974785,2020-09-03 15:41:10.454890,0 days 00:00:03.480105,gbdt,balanced,0.11841101899992527,46,80,70,15,0.7000000000000001,COMPLETE
117,117,0.1515913859491943,2020-09-03 15:41:10.461416,2020-09-03 15:41:12.982401,0 days 00:00:02.520985,gbdt,balanced,10.430747842236883,14,95,20,50,0.25,COMPLETE
118,118,0.11045924265323019,2020-09-03 15:41:12.985914,2020-09-03 15:41:16.015871,0 days 00:00:03.029957,dart,,4.121464747872138,51,90,60,100,0.75,COMPLETE
119,119,0.4088611113789236,2020-09-03 15:41:16.022149,2020-09-03 15:41:22.869418,0 days 00:00:06.847269,gbdt,,0.13994647689352896,44,85,90,95,0.85,COMPLETE
120,120,0.1419852553835975,2020-09-03 15:41:22.873098,2020-09-03 15:41:25.906658,0 days 00:00:03.033560,gbdt,,6.337290701021305,44,85,90,95,0.85,COMPLETE
121,121,0.4193651687796983,2020-09-03 15:41:25.912737,2020-09-03 15:41:30.399213,0 days 00:00:04.486476,gbdt,,0.23482759485756688,48,80,40,90,0.85,COMPLETE
122,122,0.12990013746695545,2020-09-03 15:41:30.403319,2020-09-03 15:41:33.142814,0 days 00:00:02.739495,gbdt,,2.177870301803097,46,80,40,90,0.85,COMPLETE
123,123,0.1261138835438665,2020-09-03 15:41:33.149183,2020-09-03 15:41:35.865122,0 days 00:00:02.715939,gbdt,,3.784913890334855,32,90,10,85,0.9,COMPLETE
124,124,0.3882613515516212,2020-09-03 15:41:35.873543,2020-09-03 15:41:42.643382,0 days 00:00:06.769839,gbdt,,0.31855082494305925,48,85,80,95,0.9500000000000001,COMPLETE
125,125,0.15858843573564002,2020-09-03 15:41:42.653595,2020-09-03 15:41:45.832640,0 days 00:00:03.179045,gbdt,,7.781006294085064,51,85,90,90,0.9500000000000001,COMPLETE
126,126,0.4325074733668929,2020-09-03 15:41:45.843914,2020-09-03 15:41:52.547580,0 days 00:00:06.703666,gbdt,,0.13525116013019722,47,80,70,100,0.9,COMPLETE
127,127,0.4271415523843718,2020-09-03 15:41:52.550799,2020-09-03 15:41:57.717194,0 days 00:00:05.166395,gbdt,,0.10637546921858074,48,75,50,100,0.9,COMPLETE
128,128,0.14351680207978298,2020-09-03 15:41:57.720739,2020-09-03 15:42:00.637718,0 days 00:00:02.916979,gbdt,,2.831741495230209,43,70,50,100,0.85,COMPLETE
129,129,0.159130475027811,2020-09-03 15:42:00.641187,2020-09-03 15:42:03.464584,0 days 00:00:02.823397,gbdt,,5.583870809230861,57,75,30,100,0.9,COMPLETE
130,130,0.11175964549252945,2020-09-03 15:42:03.468507,2020-09-03 15:42:06.556492,0 days 00:00:03.087985,gbdt,,9.137605457779529,40,75,70,100,0.85,COMPLETE
131,131,0.404511513129287,2020-09-03 15:42:06.561310,2020-09-03 15:42:12.521383,0 days 00:00:05.960073,gbdt,,0.23393420383455943,48,80,60,95,0.9,COMPLETE
132,132,0.0819153833531916,2020-09-03 15:42:12.528580,2020-09-03 15:42:15.970015,0 days 00:00:03.441435,gbdt,,1.9687331188017931,47,80,50,90,0.8,COMPLETE
133,133,0.4184873004051015,2020-09-03 15:42:15.973662,2020-09-03 15:42:21.181510,0 days 00:00:05.207848,gbdt,,0.1766038996454215,44,75,60,95,0.9,COMPLETE
134,134,0.1063681264684589,2020-09-03 15:42:21.189315,2020-09-03 15:42:24.191147,0 days 00:00:03.001832,gbdt,,4.164723142491785,44,75,60,95,0.9,COMPLETE
135,135,0.1442893626300658,2020-09-03 15:42:24.200625,2020-09-03 15:42:27.658036,0 days 00:00:03.457411,gbdt,,1.8581895370044177,51,80,100,85,0.9,COMPLETE
136,136,0.42294991108374924,2020-09-03 15:42:27.662337,2020-09-03 15:42:33.826486,0 days 00:00:06.164149,gbdt,,0.1269496243533413,48,75,70,90,0.85,COMPLETE
137,137,0.41482594226242575,2020-09-03 15:42:33.832305,2020-09-03 15:42:39.976489,0 days 00:00:06.144184,gbdt,,0.2649683978078099,49,65,70,90,0.85,COMPLETE
138,138,0.10156136999622167,2020-09-03 15:42:39.987580,2020-09-03 15:42:42.669208,0 days 00:00:02.681628,gbdt,,5.480580746151619,49,65,70,80,0.85,COMPLETE
139,139,0.12078483573292471,2020-09-03 15:42:42.672408,2020-09-03 15:42:45.909396,0 days 00:00:03.236988,gbdt,,3.453660775548643,52,55,80,85,0.85,COMPLETE
140,140,0.434886639333164,2020-09-03 15:42:45.917397,2020-09-03 15:42:51.470967,0 days 00:00:05.553570,gbdt,,0.11329240653713374,55,70,60,90,0.9,COMPLETE
